"Brand_Reg","Model_No","SoldIn","screensize","Screen_Tech","Avg_mode_power","Star Rating Index","Submit_ID","Screensize_inches"
"KOGAN","*24*","Australia,Fiji,New Zealand",59.824,"LCD",22,5.121511445327967,170148,24
"KOGAN","*32*","Australia,Fiji,New Zealand",80.039,"LCD",35.2,5.016705353735284,170150,32
"KOGAN","*60*","Australia,Fiji,New Zealand",152.663,"LCD",110.3,5.030432129486525,155515,60
"SAMSUNG","**32F6000F*","Australia,Fiji,New Zealand",80.008,"LCD (LED)",36,4.91366815087741,165781,31
"FPD","****24*****","Australia,Fiji,New Zealand",59.824,"LCD (LED)",26.06,4.025359920995686,180855,24
"FPD","****32**********","Australia",80.039,"LCD (LED)",31.68,5.051045905816841,173787,32
"FPD","****40*****","Australia,Fiji,New Zealand",100.332,"LCD (LED)",50.94,4.526400619045754,180857,40
"FPD","****43*****","Australia,Fiji,New Zealand",107.986,"LCD (LED)",75.42,3.542223664976664,180871,43
"CAIXUN","*****32*****","Australia,Fiji,New Zealand",80.039,"LCD (LED)",25.92,5.799687998815937,143036,32
"CAIXUN","*****40*****","Australia,Fiji,New Zealand",100.332,"LCD (LED)",34.52,6.025786528657009,143170,40
"KOGAN","*********32*********","Australia,Fiji,New Zealand",79.967,"LCD (LED)",36.3,4.3445623134294555,178829,31
"KOGAN","*********40*********","Australia,Fiji,New Zealand",100.305,"LCD (LED)",45.18,4.544406853380655,178958,39
"KOGAN","*********43*********","Australia,Fiji,New Zealand",107.95,"LCD (LED)",44.82,3.553267260591146,180958,42
"KOGAN","*********50*********","Australia,Fiji,New Zealand",125.725,"LCD (LED)",105,3.054983381188823,181824,49
"KOGAN","*********55*********","Australia,Fiji,New Zealand",138.798,"LCD (LED)",123.84,3.5221653033837876,181842,55
"KOGAN","*********65*********","Australia,Fiji,New Zealand",163.878,"LCD (LED)",151.62,3.6205371729918245,181843,65
"KOGAN","*********75*********","Australia,Fiji,New Zealand",189.306,"LCD (LED)",130.8,5.5485690204715645,178959,75
"KOGAN","*********85*********","Australia,Fiji,New Zealand",214.783,"LCD (LED)",216.3,4.552077515720736,180946,85
"KOGAN","**********24**********","Australia,Fiji,New Zealand",59.816,"LCD (LED)",23.98,4.516360257282469,164908,24
"KOGAN","**********32**********","Australia,Fiji,New Zealand",80.029,"LCD (LED)",31.84,5.016703576803088,164909,32
"KOGAN","**********70**********","Australia,Fiji,New Zealand",176.538,"LCD (LED)",138.82,5.005691320259438,163478,70
"KOGAN","**********85**********","Australia,Fiji,New Zealand",215.329,"LCD (LED)",280.55,3.5055839279471974,162831,85
"KOGAN","**********86**********","Australia,Fiji,New Zealand",217.518,"LCD (LED)",298.5,3.5018497413173733,164586,86
"KOGAN","**********100**********","Australia,Fiji,New Zealand",253.136,"LCD (LED)",379.07,3.5008157002390408,162834,100
"SHARP","2T-C32EG1X","Australia,Fiji,New Zealand",80.043,"LCD (LED)",29.15,5.800164961009463,150943,32
"SHARP","2T-C42EG1X","Australia,Fiji,New Zealand",105.415,"LCD (LED)",53,5.198720591823303,150945,42
"SHARP","4T-C50DK1X","Australia,Fiji,New Zealand",125.727,"LCD (LED)",84.4,4.5974627946475835,150946,49
"SHARP","4T-C60DL1X","Australia,Fiji,New Zealand",152.663,"LCD (LED)",137,4.050393944753631,151145,60
"SHARP","4T-C70DL1X","Australia,Fiji,New Zealand",176.563,"LCD (LED)",123.94,5.7179341816321125,150947,70
"JVC","19"" smart","Australia",47.013,"LCD",19.4,4.333587410734022,163671,19
"PHILIPS","19HFL5214W/12","Australia,Fiji,New Zealand",47.013,"LCD (LED)",15.12,5.065515602883841,142849,19
"WINTAL","19LED19HD","Australia",47.013,"LCD (LED)",19.4,4.395401082028128,161837,19
"LPT","24DN4","Australia,Fiji,New Zealand",60.106,"LCD",24.4,4.777678717114031,179718,24
"PHILIPS","24HFL3011T/12","Australia,Fiji,New Zealand",59.687,"LCD (LED)",17.38,6.206406424105242,140130,23
"PHILIPS","24HFL4025/97","Australia,Fiji,New Zealand",59.827,"LCD (LED)",10,4.758996661557138,175310,24
"PHILIPS","24HFL4518/97","Australia,Fiji,New Zealand",59.774,"LCD (LED)",16.9,5.9446797967165725,165026,24
"SKYWORTH","24LP60G","Australia,Fiji,New Zealand",60.469,"LCD (LED)",16.33,5.583285571635198,167238,24
"ENGLAON","24in Smart TV","Australia,New Zealand",59.81,"LCD (LED)",20.3,5.399112734703527,155058,24
"ENGLAON","27in Smart TV","Australia,New Zealand",68.568,"LCD (LED)",42.76,3.1109409488656943,157544,27
"HISENSE","32A4HAU","Australia,New Zealand",80.04,"LCD (LED)",25.32,6.051110422730285,148089,32
"HISENSE","32A4KAU","Australia",80.04,"LCD (LED)",22.8,6.552094678514144,155359,32
"HISENSE","32A4N","Australia,New Zealand",80.039,"LCD (LED)",22.07,6.7490607593293985,167833,32
"HISENSE","32A4NAU","Australia,New Zealand",80.04,"LCD (LED)",22.8,6.552094678514144,162651,32
"HISENSE","32A4NNZ","Australia,New Zealand",80.04,"LCD (LED)",22.8,6.552094678514144,162651,32
"HISENSE","32A4QAU","Australia,New Zealand",80.039,"LCD (LED)",22.07,6.7490607593293985,167833,32
"HISENSE","32A4QNZ","Australia,New Zealand",80.039,"LCD (LED)",22.07,6.7490607593293985,167833,32
"HISENSE","32A4S","Australia,New Zealand",80.039,"LCD (LED)",22.07,6.7490607593293985,177731,32
